ENSG00000156284	Skin - Not Sun Exposed (Suprapubic)	皮膚 - 非日焼け（恥骨上部）
ENSG00000156284	Thyroid	甲状腺
ENSG00000156284	Breast - Mammary Tissue	乳房 - 乳腺組織
ENSG00000156284	Skin - Sun Exposed (Lower leg)	皮膚 - 日焼け（下腿）
ENSG00000156284	Esophagus - Mucosa	食道 - 粘膜
ENSG00000156284	Colon - Transverse	結腸 - 横行結腸
ENSG00000222018	Low specificity	低特異性
ENSG00000142149	Low specificity	低特異性
ENSG00000154642	Low specificity	低特異性
ENSG00000159256	Low specificity	低特異性
ENSG00000027001	Low specificity	低特異性
ENSG00000159086	Low specificity	低特異性
ENSG00000102781	Low specificity	低特異性
ENSG00000236444	Testis	精巣
ENSG00000205929	Kidney - Cortex	腎臓 - 皮質
ENSG00000205929	Ovary	卵巣
ENSG00000205929	Pituitary	下垂体
ENSG00000205929	Brain - Hypothalamus	脳 - 視床下部
ENSG00000102753	Low specificity	低特異性
ENSG00000165475	Low specificity	低特異性
ENSG00000102547	Low specificity	低特異性
ENSG00000120675	Low specificity	低特異性
ENSG00000132975	Brain - Cortex	脳 - 皮質
ENSG00000132975	Minor Salivary Gland	小唾液腺
ENSG00000132975	Brain - Substantia nigra	脳 - 黒質
ENSG00000132975	Brain - Anterior cingulate cortex (BA24)	脳 - 前帯状皮質（BA24）
ENSG00000132975	Brain - Nucleus accumbens (basal ganglia)	脳 - 側坐核（基底核）
ENSG00000132975	Brain - Hippocampus	脳 - 海馬
ENSG00000132975	Brain - Cerebellar Hemisphere	脳 - 小脳半球
ENSG00000132975	Brain - Frontal Cortex (BA9)	脳 - 前頭皮質（BA9）
ENSG00000132975	Brain - Cerebellum	脳 - 小脳
ENSG00000132975	Brain - Caudate (basal ganglia)	脳 - 尾状核（基底核）
ENSG00000132975	Skin - Not Sun Exposed (Suprapubic)	皮膚 - 非日焼け（恥骨上部）
ENSG00000132975	Brain - Putamen (basal ganglia)	脳 - 被殻（基底核）
ENSG00000132975	Pituitary	下垂体
ENSG00000132975	Brain - Amygdala	脳 - 扁桃体
ENSG00000132975	Brain - Hypothalamus	脳 - 視床下部
ENSG00000132975	Skin - Sun Exposed (Lower leg)	皮膚 - 日焼け（下腿）
ENSG00000132970	Brain - Cerebellar Hemisphere	脳 - 小脳半球
ENSG00000133110	Artery - Tibial	動脈 - 脛骨動脈
ENSG00000133110	Artery - Aorta	動脈 - 大動脈
ENSG00000133110	Artery - Coronary	動脈 - 冠動脈
ENSG00000205726	Low specificity	低特異性
ENSG00000102531	Low specificity	低特異性
ENSG00000183722	Low specificity	低特異性
ENSG00000023516	Low specificity	低特異性
ENSG00000204899	Low specificity	低特異性
ENSG00000120685	Low specificity	低特異性
ENSG00000165837	Testis	精巣
ENSG00000159261	Cells - EBV-transformed lymphocytes	細胞 - EBV変換リンパ球
ENSG00000159261	Kidney - Cortex	腎臓 - 皮質
ENSG00000159261	Liver	肝臓
ENSG00000241837	Low specificity	低特異性
ENSG00000083535	Low specificity	低特異性
ENSG00000136122	Cells - EBV-transformed lymphocytes	細胞 - EBV変換リンパ球
ENSG00000154645	Testis	精巣
ENSG00000154645	Spleen	脾臓
ENSG00000160307	Brain - Cortex	脳 - 皮質
ENSG00000160307	Brain - Spinal cord (cervical c-1)	脳 - 脊髄（頸部 C-1）
ENSG00000160307	Nerve - Tibial	神経 - 脛骨神経
ENSG00000160307	Brain - Substantia nigra	脳 - 黒質
ENSG00000160307	Brain - Anterior cingulate cortex (BA24)	脳 - 前帯状皮質（BA24）
ENSG00000160307	Brain - Nucleus accumbens (basal ganglia)	脳 - 側坐核（基底核）
ENSG00000160307	Brain - Hippocampus	脳 - 海馬
ENSG00000160307	Brain - Cerebellar Hemisphere	脳 - 小脳半球
ENSG00000160307	Brain - Frontal Cortex (BA9)	脳 - 前頭皮質（BA9）
